         Abide1             Abode/Abided2                 Abode/Abided/Abidden3         Abides4         Abiding5   
        Spread1            Spread2                       Spread3                       Spreads4                 Spreading5 

        Spring1            Sprang2                       Sprung3                       Springs4                 Springing5 

        Stand1             Stood2                        Stood3                        Stands4                  Standing5 

        Steal1             Stole2                        Stolen3                       Steals4                  Stealing5 

        Stick1             Stuck2                        Stuck3                        Sticks4                  Sticking5 

        Sting1             Stung2                        Stung3                        Stings4                  Stinging5 

        Stink1             Stank2                        Stunk3                        Stinks4                  Stinking5 

        Stride1            Strode/Strided2               Stridden3                     Strides4                 Striding5 

        Strike1            Struck2                       Struck/Stricken3              Strikes4                 Striking5 

        String1            Strung2                       Strung3                       Strings4                 Stringing5 

        Strip1             Stript/Stripped2              Stript/Stripped3              Strips 4                 Stripping5 

        Strive1            Strove2                      Striven3                      Strives4                Striving5 

        Sublet1            Suble2                       Sublet3                       Sublets4                 Subletting5 

    Sunburn1      Sunburned/Sunburnt2   Sunburned/Sunburnt3      Sunburns4      Sunburning5 

        Swear1             Swore2                        Sworn3                        Swears4                  Swearing5 

        Sweat1     Sweat/Sweated2      Sweat/Sweated3                Sweats4                  Sweating5 

        Sweep1     Swept/Sweeped2         Swept/Sweeped3                Sweeps                  Sweeping5 

        Swell1             Swelled2                      Swollen3                      Swells4                  Swelling5 

        Swim1              Swam2                         Swum3                         Swims4                   Swimming5 

        Swing1             Swung2                        Swung3                        Swings4                 Swinging5 

        Take1              Took2                         Taken3                        Takes4                   Taking5 

        Teach1             Taught2                       Taught3                       Teaches4                 Teaching5 

        Tear1              Tore2                         Torn3                         Tears4                   Tearing5 

        Tell1              Told2                         Told3                         Tells4                   Telling5 

        Think1             Thought2                      Thought3                      Thinks4                  Thinking5 

        Thrive1            Throve/Thrived2               Thriven/Thrived3              Thrives4                 Thriving5 

        Throw1             Threw2                        Thrown3                       Throws4                  Throwing5 

        Thrust1            Thrust2                       Thrust3                       Thrusts4                 Thrusting5 

        Tread1             Trod2                         Trodden3                      Treads4                  Treading5 

        Undergo1       Underwent2           Undergone3                    Undergoes4               Undergoing5 

        Understand1   Understood2     Understood3     Understands4      Understanding5 

        Undertake1    Undertook2             Undertaken 3            Undertakes4              Undertaking5 

        Upset1             Upset2                        Upset3                        Upsets4                  Upsetting5 

        Vex1               Vext/Vexed2                   Vext/Vexed3                   Vexes4                   Vexing5 

        Wake1              Woke2                         Woken3                        Wakes4                   Waking5 

        Wear1              Wore2                         Worn3                         Wears4                   Wearing5 

        Weave1             Wove2                         Woven3                        Weaves4                  Weaving5 

